data_compra;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;hora_compra;quantidade;valor_total;forma_pagamento
2025-09-19;74;Belo Horizonte;Ana Paula;Notebook;Kelley Babcock;Masculino;12:08:39;4;14000,0;Boleto
2025-09-19;633;São Paulo;Aline Maria;Fone de Ouvido;Harry Vogel;Masculino;14:09:43;1;250,0;Dinheiro
2025-09-19;1633;Rio de Janeiro;Bruno Costa;Smartwatch;Bernard Yerkovich;Feminino;13:03:50;5;4000,0;Cartão de Crédito
2025-09-20;693;Rio de Janeiro;Carla Souza;Smartphone;Julie Rios;Feminino;04:39:43;1;1500,0;Pix
2025-09-21;924;Belo Horizonte;Fernando Alves;Smartwatch;Eric Rivera;Masculino;09:44:44;4;3200,0;Pix
2025-09-21;1532;Belo Horizonte;Ana Paula;Tablet;Kenton Medina;Feminino;01:01:49;1;1200,0;Pix
2025-09-22;207;Salvador;Thiago Pereira;Smartphone;Sandra Harris;Masculino;11:41:40;3;4500,0;Dinheiro
2025-09-22;536;Belo Horizonte;Fernando Alves;Smartwatch;Robert Barth;Masculino;02:48:42;3;2400,0;Boleto
2025-09-22;579;São Paulo;Lucas Silva;Smartphone;Kenneth Shults;Feminino;02:37:42;3;4500,0;Pix
2025-09-22;1007;São Paulo;Aline Maria;Notebook;Frank Starrick;Masculino;21:15:45;5;17500,0;Boleto
2025-09-22;1042;Salvador;Juliana Santos;Tablet;Joseph Duncan;Feminino;20:05:45;3;3600,0;Dinheiro
2025-09-22;1096;Rio de Janeiro;Bruno Costa;Notebook;Alton Burditt;Feminino;14:02:46;1;3500,0;Boleto
2025-09-22;1781;Belo Horizonte;Fernando Alves;Tablet;Jay Smith;Feminino;09:20:51;5;6000,0;Cartão de Crédito
2025-09-22;1961;Rio de Janeiro;Carla Souza;Fone de Ouvido;Marilyn Souza;Feminino;21:19:51;5;1250,0;Boleto
2025-09-23;431;Rio de Janeiro;Carla Souza;Fone de Ouvido;Ruth Carrington;Masculino;00:13:41;3;750,0;Pix
2025-09-23;442;Belo Horizonte;Fernando Alves;Notebook;Sean Marsh;Feminino;07:39:41;2;7000,0;Cartão de Crédito
2025-09-23;623;Rio de Janeiro;Bruno Costa;Fone de Ouvido;Joyce Consla;Feminino;04:34:43;5;1250,0;Boleto
2025-09-23;673;Salvador;Thiago Pereira;Smartphone;James Reeve;Feminino;02:57:43;4;6000,0;Dinheiro
2025-09-23;930;Porto Alegre;Rafael Oliveira;Notebook;Priscilla Santoro;Masculino;11:01:45;2;7000,0;Cartão de Crédito
2025-09-23;972;Belo Horizonte;Fernando Alves;Smartphone;Cynthia Rogers;Feminino;02:05:45;4;6000,0;Boleto
2025-09-23;998;Belo Horizonte;Fernando Alves;Smartwatch;Carmelo Paul;Masculino;13:23:45;5;4000,0;Pix
2025-09-23;1227;Rio de Janeiro;Carla Souza;Notebook;Kerry Skinner;Masculino;05:06:47;4;14000,0;Pix
2025-09-23;1525;Salvador;Thiago Pereira;Notebook;Kimberly Mellett;Masculino;05:10:49;5;17500,0;Dinheiro
2025-09-24;266;Belo Horizonte;Ana Paula;Smartphone;Steven Kuhr;Masculino;09:38:40;4;6000,0;Dinheiro
2025-09-24;389;Porto Alegre;Rafael Oliveira;Smartphone;Jacqueline Skorupa;Masculino;23:13:41;1;1500,0;Pix
2025-09-24;484;Salvador;Juliana Santos;Fone de Ouvido;Edward Lindblom;Feminino;08:02:42;4;1000,0;Boleto
